"Which company was established on April 1st, 1976 by Steve Jobs, Steve Wozniak and Ronald Wayne?","Apple","Microsoft","Atari","Commodore",151
"In any programming language, what is the most common way to iterate through an array?","For loops","If Statements","Do-while loops","While loops",152
"What does CPU stand for?","Central Processing Unit","Central Process Unit","Computer Personal Unit","Central Processor Unit",153
"What does the &quot;MP&quot; stand for in MP3?","Moving Picture","Music Player","Multi Pass","Micro Point",154
"According to the International System of Units, how many bytes are in a kilobyte of RAM?","1000","512","1024","500",155
"When Gmail first launched, how much storage did it provide for your email?","1GB","512MB","5GB","Unlimited",156
"What does GHz stand for?","Gigahertz","Gigahotz","Gigahetz","Gigahatz",157
"The programming language &#039;Swift&#039; was created to replace what other programming language?","Objective-C","C#","Ruby","C++",158
"HTML is what type of language?","Markup Language","Macro Language","Programming Language","Scripting Language",159
"What amount of bits commonly equals one byte?","8","1","2","64",160
"Which computer hardware device provides an interface for all other connected devices to communicate?","Motherboard","Central Processing Unit","Hard Disk Drive","Random Access Memory",161
"In the programming language Java, which of these keywords would you put on a variable to make sure it doesn&#039;t get modified?","Final","Static","Private","Public",162
"If you were to code software in this language you&#039;d only be able to type 0&#039;s and 1&#039;s.","Binary","JavaScript","C++","Python",163
"What does the Prt Sc button do?","Captures what&#039;s on the screen and copies it to your clipboard","Nothing","Saves a .png file of what&#039;s on the screen in your screenshots folder in photos","Closes all windows",164
"The series of the Intel HD graphics generation succeeding that of the 5000 and 6000 series (Broadwell) is called:","HD Graphics 500","HD Graphics 700 ","HD Graphics 600","HD Graphics 7000",165
"What is the most preferred image format used for logos in the Wikimedia database?",".svg",".png",".jpeg",".gif",166
"In web design, what does CSS stand for?","Cascading Style Sheet","Counter Strike: Source","Corrective Style Sheet","Computer Style Sheet",167
"What is the code name for the mobile operating system Android 7.0?","Nougat","Ice Cream Sandwich","Jelly Bean","Marshmallow",168
"What is the domain name for the country Tuvalu?",".tv",".tu",".tt",".tl",169
"How many kilobytes in one gigabyte (in decimal)?","1000000","1024","1000","1048576",170
"On Twitter, what was the original character limit for a Tweet?","140","120","160","100",171
"In &quot;Hexadecimal&quot;, what color would be displayed from the color code? &quot;#00FF00&quot;?","Green","Red","Blue","Yellow",172
"Which computer language would you associate Django framework with?","Python","C#","C++","Java",173
"What does LTS stand for in the software market?","Long Term Support","Long Taco Service","Ludicrous Transfer Speed","Ludicrous Turbo Speed",174
"The numbering system with a radix of 16 is more commonly referred to as ","Hexidecimal","Binary","Duodecimal","Octal",175
"This mobile OS held the largest market share in 2012.","iOS","Android","BlackBerry","Symbian",176
"How many values can a single byte represent?","256","8","1","1024",177
"The C programming language was created by this American computer scientist. ","Dennis Ritchie","Tim Berners Lee","al-Khw&#257;rizm&#299;","Willis Ware",178
"Which programming language shares its name with an island in Indonesia?","Java","Python","C","Jakarta",179
"How long is an IPv6 address?","128 bits","32 bits","64 bits","128 bytes",180
"In computing, what does MIDI stand for?","Musical Instrument Digital Interface","Musical Interface of Digital Instruments","Modular Interface of Digital Instruments","Musical Instrument Data Interface",181
"In computing, what does LAN stand for?","Local Area Network","Long Antenna Node","Light Access Node","Land Address Navigation",182
"What language does Node.js use?","JavaScript","Java","Java Source","Joomla Source Code",183
"What does the computer software acronym JVM stand for?","Java Virtual Machine","Java Vendor Machine","Java Visual Machine","Just Virtual Machine",184