"The Harvard architecture for micro-controllers added which additional bus?","Instruction","Address","Data","Control",185
"What was the name of the security vulnerability found in Bash in 2014?","Shellshock","Heartbleed","Bashbug","Stagefright",186
"How many Hz does the video standard PAL support?","50","59","60","25",187
"The internet domain .fm is the country-code top-level domain for which Pacific Ocean island nation?","Micronesia","Fiji","Tuvalu","Marshall Islands",188
"Which of these names was an actual codename for a cancelled Microsoft project?","Neptune","Enceladus","Pollux","Saturn",189
"What port does HTTP run on?","80","53","443","23",190
"Which of these was the name of a bug found in April 2014 in the publicly available OpenSSL cryptography library?","Heartbleed","Shellshock","Corrupted Blood","Shellscript",191
"Who is the original author of the realtime physics engine called PhysX?","NovodeX","Ageia","Nvidia","AMD",192
"Which data structure does FILO apply to?","Stack","Queue","Heap","Tree",193
"Which of the following is the oldest of these computers by release date?","TRS-80","Commodore 64","ZX Spectrum","Apple 3",194
"What is the name of the process that sends one qubit of information using two bits of classical information?","Quantum Teleportation","Super Dense Coding","Quantum Entanglement","Quantum Programming",195
"America Online (AOL) started out as which of these online service providers?","Quantum Link","CompuServe","Prodigy","GEnie",196
"What internet protocol was documented in RFC 1459?","IRC","HTTP","HTTPS","FTP",197
"Which of these is not a key value of Agile software development?","Comprehensive documentation","Individuals and interactions","Customer collaboration","Responding to change",198
"What does the International System of Quantities refer 1024 bytes as?","Kibibyte","Kylobyte","Kilobyte","Kelobyte",199
"Which RAID array type is associated with data mirroring?","RAID 1","RAID 0","RAID 10","RAID 5",200
"What was the first company to use the term &quot;Golden Master&quot;?","Apple","IBM","Microsoft","Google",201
"Released in 2001, the first edition of Apple&#039;s Mac OS X operating system (version 10.0) was given what animal code name?","Cheetah","Puma","Tiger","Leopard",202
"Dutch computer scientist Mark Overmars is known for creating which game development engine?","Game Maker","Stencyl","Construct","Torque 2D",203
"What is the name given to layer 4 of the Open Systems Interconnection (ISO) model?","Transport","Session","Data link","Network",204
"What vulnerability ranked #1 on the OWASP Top 10 in 2013?","Injection ","Broken Authentication","Cross-Site Scripting","Insecure Direct Object References",205
"Who invented the &quot;Spanning Tree Protocol&quot;?","Radia Perlman","Paul Vixie","Vint Cerf","Michael Roberts",206
"According to DeMorgan&#039;s Theorem, the Boolean expression (AB)&#039; is equivalent to:","A&#039; + B&#039;","A&#039;B + B&#039;A","A&#039;B&#039;","AB&#039; + AB",207
"What major programming language does Unreal Engine 4 use?","C++","Assembly","C#","ECMAScript",208
"The acronym &quot;RIP&quot; stands for which of these?","Routing Information Protocol","Runtime Instance Processes","Regular Interval Processes","Routine Inspection Protocol",209
"Which of these is not a layer in the OSI model for data communications?","Connection Layer","Application Layer","Transport Layer","Physical Layer",210
"What was the name of the first Bulgarian personal computer?","IMKO-1","Pravetz 82","Pravetz 8D","IZOT 1030",211
"What type of sound chip does the Super Nintendo Entertainment System (SNES) have?","ADPCM Sampler","FM Synthesizer","Programmable Sound Generator (PSG)","PCM Sampler",212
"Which of the following computer components can be built using only NAND gates?","ALU","CPU","RAM","Register",213
"What is the codename of the eighth generation Intel Core micro-architecture launched in October 2017?","Coffee Lake","Sandy Bridge","Skylake","Broadwell",214
"Lenovo acquired IBM&#039;s personal computer division, including the ThinkPad line of laptops and tablets, in what year?","2005","1999","2002","2008",215
"Which of these Cherry MX mechanical keyboard switches is both tactile and clicky?","Cherry MX Blue","Cherry MX Black","Cherry MX Red","Cherry MX Brown",216
"Which kind of algorithm is Ron Rivest not famous for creating?","Secret sharing scheme","Hashing algorithm","Asymmetric encryption","Stream cipher",217
"Who is the founder of Palantir?","Peter Thiel","Mark Zuckerberg","Marc Benioff","Jack Dorsey",218