"What is the first book of the Old Testament?","Genesis","Exodus","Leviticus","Numbers",1
"Which best selling toy of 1983 caused hysteria, resulting in riots breaking out in stores?","Cabbage Patch Kids","Transformers","Care Bears","Rubik&rsquo;s Cube",2
"In past times, what would a gentleman keep in his fob pocket?","Watch","Money","Keys","Notebook",3
"What is the largest organ of the human body?","Skin","Heart","large Intestine","Liver",4
"Which sign of the zodiac is represented by the Crab?","Cancer","Libra","Virgo","Sagittarius",5
"On a dartboard, what number is directly opposite No. 1?","19","20","12","15",6
"What alcoholic drink is made from molasses?","Rum","Gin","Vodka","Whisky",7
"Which American president appears on a one dollar bill?","George Washington","Thomas Jefferson","Abraham Lincoln","Benjamin Franklin",8
"What geometric shape is generally used for stop signs?","Octagon","Hexagon","Circle","Triangle",9
"What is &quot;dabbing&quot;?","A dance","A medical procedure","A sport","A language",10
"What is the shape of the toy invented by Hungarian professor Ern&#337; Rubik?","Cube","Sphere","Cylinder","Pyramid",11
"Which one of the following rhythm games was made by Harmonix?","Rock Band","Meat Beat Mania","Guitar Hero Live","Dance Dance Revolution",12
"How many colors are there in a rainbow?","7","8","9","10",13
"Red Vines is a brand of what type of candy?","Licorice","Lollipop","Chocolate","Bubblegum",14
"What is the nickname of the US state of California?","Golden State","Sunshine State","Bay State","Treasure State",15
"Which of these colours is NOT featured in the logo for Google?","Pink","Yellow","Blue","Green",16
"Five dollars is worth how many nickles?","100","50","25","69",17
"What do the letters in the GMT time zone stand for?","Greenwich Mean Time","Global Meridian Time","General Median Time","Glasgow Man Time",18
"Which one of these is not a typical European sword design?","Scimitar","Falchion","Ulfberht","Flamberge",19
"Which American-owned brewery led the country in sales by volume in 2015?","D. G. Yuengling and Son, Inc","Anheuser Busch","Boston Beer Company","Miller Coors",20
"According to Sherlock Holmes, &quot;If you eliminate the impossible, whatever remains, however improbable, must be the...&quot;","Truth","Answer","Cause","Source",21
"The New York Times slogan is, &ldquo;All the News That&rsquo;s Fit to&hellip;&rdquo;","Print","Digest","Look","Read",22
"What do the letters of the fast food chain KFC stand for?","Kentucky Fried Chicken","Kentucky Fresh Cheese","Kibbled Freaky Cow","Kiwi Food Cut",23
"Which restaurant&#039;s mascot is a clown?","McDonald&#039;s","Whataburger","Burger King","Sonic",24
"Which of the following card games revolves around numbers and basic math?","Uno","Go Fish","Twister","Munchkin",25
"Which sign of the zodiac comes between Virgo and Scorpio?","Libra","Gemini","Taurus","Capricorn",26
"Which of the following presidents is not on Mount Rushmore?","John F. Kennedy","Theodore Roosevelt","Abraham Lincoln","Thomas Jefferson",27
"What company developed the vocaloid Hatsune Miku?","Crypton Future Media","Sega","Sony","Yamaha Corporation",28
"Which candy is NOT made by Mars?","Almond Joy","M&amp;M&#039;s","Twix","Snickers",29
"In which fast food chain can you order a Jamocha Shake?","Arby&#039;s","McDonald&#039;s","Burger King","Wendy&#039;s",30
"What zodiac sign is represented by a pair of scales?","Libra","Aries","Capricorn","Sagittarius",31
"What nuts are used in the production of marzipan?","Almonds","Peanuts","Walnuts","Pistachios",32
"The likeness of which president is featured on the rare $2 bill of USA currency?","Thomas Jefferson","Martin Van Buren","Ulysses Grant","John Quincy Adams",33
"What is Cynophobia the fear of?","Dogs","Birds","Flying","Germs",34
"According to the nursery rhyme, what fruit did Little Jack Horner pull out of his Christmas pie?","Plum","Apple","Peach","Pear",35
"Terry Gilliam was an animator that worked with which British comedy group?","Monty Python","The Goodies&lrm;","The League of Gentlemen&lrm;","The Penny Dreadfuls",36
"If you are caught &quot;Goldbricking&quot;, what are you doing wrong?","Slacking","Smoking","Stealing","Cheating",37
"How many furlongs are there in a mile?","Eight","Two","Four","Six",38
"What is the closest planet to our solar system&#039;s sun?","Mercury","Mars","Jupiter","Earth",39
"What is the name of NASA&rsquo;s most famous space telescope?","Hubble Space Telescope","Big Eye","Death Star","Millenium Falcon",40
"What are Panama hats made out of?","Straw","Silk","Hemp","Flax",41
"Which of the following is not an Ivy League University?","Stanford","University of Pennsylvania","Harvard","Princeton",42
"The drug cartel run by Pablo Escobar originated in which South American city?","Medell&iacute;n","Bogot&aacute;","Quito","Cali",43
"Which of the following blood component forms a plug at the site of injuries?","Platelets","Red blood cells","White blood cells","Blood plasma",44
"What is the French word for &quot;fish&quot;?","poisson","fiche","escargot","mer",45
"What is the profession of Elon Musk&#039;s mom, Maye Musk?","Model","Professor","Biologist","Musician",46
"What is the famous Papa John&#039;s last name?","Schnatter","Chowder","Williams","Anderson",47
"Which country has the union jack in its flag?","New Zealand","South Africa","Canada","Hong Kong",48
"What airline was the owner of the plane that crashed off the coast of Nova Scotia in 1998?","Swiss Air","Air France","British Airways","TWA",49
"What is the official language of Brazil?","Portugese","Brazilian","Spanish","English",50