"What is the world&#039;s most expensive spice by weight?","Saffron","Cinnamon","Cardamom","Vanilla",101
"What does a milliner make and sell?","Hats","Shoes","Belts","Shirts",102
"In a standard set of playing cards, which is the only king without a moustache?","Hearts","Spades","Diamonds","Clubs",103
"Which river flows through the Scottish city of Glasgow?","Clyde","Tay","Dee","Tweed",104
"When was the Declaration of Independence approved by the Second Continental Congress?","July 4, 1776","May 4, 1776","June 4, 1776","July 2, 1776",105
"What name represents the letter &quot;M&quot; in the NATO phonetic alphabet?","Mike","Matthew","Mark","Max",106
"What is the defining characteristic of someone who is described as hirsute?","Hairy","Rude","Funny","Tall",107
"A doctor with a PhD is a doctor of what?","Philosophy","Psychology","Phrenology","Physical Therapy",108
"Scotch whisky and Drambuie make up which cocktail?","Rusty Nail","Screwdriver","Sex on the Beach","Manhattan",109
"In the Morse code, which letter is indicated by 3 dots? ","S","O","A","C",110
"Which language is NOT Indo-European?","Hungarian","Russian","Greek","Latvian",111
"Which of the following Ivy League universities has its official motto in Hebrew as well as in Latin?","Yale University","Princeton University","Harvard University","Columbia University",112
"What is a &quot;dakimakura&quot;?","A body pillow","A Chinese meal, essentially composed of fish","A yoga posture","A word used to describe two people who truly love each other",113
"What is the name of the very first video uploaded to YouTube?","Me at the zoo","tribute","carrie rides a truck","Her new puppy from great grandpa vern.",114
"Who is a co-founder of music streaming service Spotify?","Daniel Ek","Sean Parker","Felix Miller","Michael Breidenbruecker",115
"What was the destination of the missing flight MH370?","Beijing","Kuala Lumpur","Singapore","Tokyo",116
"Which of the following buildings is example of a structure primarily built in the Art Deco architectural style?","Niagara Mohawk Building","Taipei 101","One Detroit Center","Westendstrasse 1",117
"What alcoholic drink is mainly made from juniper berries?","Gin","Vodka","Rum","Tequila",118
"What did the Spanish autonomous community of Catalonia ban in 2010, that took effect in 2012?","Bullfighting","Fiestas","Flamenco","Mariachi",119
"What is the German word for &quot;spoon&quot;?","L&ouml;ffel","Gabel","Messer","Essst&auml;bchen",120
"What is the Swedish word for &quot;window&quot;?","F&ouml;nster","H&aring;l","Sk&auml;rm","Ruta",121
"What is the romanized Russian word for &quot;winter&quot;?","Zima","Leto","Vesna","Osen&#039;",122
"What is the name of the popular animatronic singing fish prop, singing such hits such as &quot;Don&#039;t Worry, Be Happy&quot;?","Big Mouth Billy Bass","Big Billy Bass","Singing Fish","Sardeen",123
"The term &quot;scientist&quot; was coined in which year?","1833","1933","1942","1796",124
"According to the United States&#039; CDC, one in how many Americans die annually due to smoking?","Five","Twenty","Ten","One hundred",125
"What is a dead mall?","A mall with high vacancy rates or low consumer foot traffic","A mall with no stores","A mall that has been condemed","A mall after business hours",126
"What character was once considered to be the 27th letter of the alphabet?","Ampersand","Interrobang","Tilde","Pilcrow",127
"What was Mountain Dew&#039;s original slogan?","Yahoo! Mountain Dew... It&#039;ll tickle your innards!","Give Me A Dew","Do The Dew","Get&#039; that barefoot feelin&#039; drinkin&#039; Mountain Dew",128
"What is the Portuguese word for &quot;Brazil&quot;?","Brasil","Brazil","Brasilia","Bras&iacute;l",129
"Where does water from Poland Spring water bottles come from?","Maine, United States","Hesse, Germany","Masovia, Poland","Bavaria, Poland",130
"What is a Burgee?","A flag","A rope","A window","A type of food",131
"Apple co-founder Steve Jobs died from complications of which form of cancer?","Pancreatic","Bone","Liver","Stomach",132
"Computer manufacturer Compaq was acquired for $25 billion dollars in 2002 by which company?","Hewlett-Packard","Toshiba","Asus","Dell",133
"What was the original name of the search engine &quot;Google&quot;?","BackRub","CatMassage","SearchPro","Netscape Navigator",134
"Earl Grey tea is black tea flavoured with what?","Bergamot oil","Lavender","Vanilla","Honey",135
"The website &quot;Shut Up &amp; Sit Down&quot; reviews which form of media?","Board Games","Television Shows","Video Games","Films",136
"Whose greyscale face is on the kappa emoticon on Twitch?","Josh DeSeno","Justin DeSeno","John DeSeno","Jimmy DeSeno",137
"Which item of clothing is usually worn by a Scotsman at a wedding?","Kilt","Skirt","Dress","Rhobes",138
"Which country drives on the left side of the road?","Japan","Germany","Russia","China",139
"What was the name given to Japanese military dictators who ruled the country through the 12th and 19th Century?","Shogun","Ninja","Samurai","Shinobi",140
"Which American manufactured submachine gun was informally known by the American soldiers that used it as &quot;Grease Gun&quot;?","M3","Colt 9mm","Thompson","MAC-10",141
"A statue of Charles Darwin sits in what London museum?","Natural History Museum","Tate","British Museum","Science Museum",142
"What is the highest number of Michelin stars a restaurant can receive?","Three","Four","Five","Six",143
"What is the full title of the Prime Minister of the UK?","First Lord of the Treasury","Duke of Cambridge","Her Majesty&#039;s Loyal Opposition","Manager of the Crown Estate",144
"Directly between the Washington Monument and the Reflecting Pool is a memorial to which war?","World War II","Vietnam War","American Civil War","American Revolutionary War",145
"Linus Pauling, one of the only winners of multiple Nobel Prizes, earned his Nobel Prizes in Chemistry and what?","Peace","Physics","Economics","Physiology/Medicine",146
"The Mexican Beer &quot;Corona&quot; is what type of beer?","Pale Lager","India Pale Ale","Pilsner","Baltic Porter",147
"Which logical fallacy means to attack the character of your opponent rather than their arguments?","Ad hominem","Post hoc ergo propter hoc","Tu quoque","Argumentum ad populum",148
"The architect known as Le Corbusier was an important figure in what style of architecture?","Modernism","Neoclassical","Baroque","Gothic Revival",149
"What fast food chain has the most locations globally? ","Subway","Starbucks","McDonalds","KFC",150