"How many games in the Crash Bandicoot series were released on the original Playstation?","5","4","3","6",253
"Which game did &quot;Sonic The Hedgehog&quot; make his first appearance in?","Rad Mobile","Sonic The Hedgehog","Super Mario 64","Mega Man",254
"In which series of games do you collect souls to empower you and buy weaponry and armor with?","Souls ","Final Fantasy ","Monster Hunter","The Legend of Zelda",255
"League of Legends, DOTA 2, Smite and Heroes of the Storm are all part of which game genre?","Multiplayer Online Battle Arena (MOBA)","Real Time Strategy (RTS)","First Person Shooter (FPS)","Role Playing Game (RPG)",256
"In the Nintendo DS game &#039;Ghost Trick: Phantom Detective&#039;, what is the name of the hitman seen at the start of the game?","Nearsighted Jeego","One Step Ahead Tengo","Missile","Cabanela",257
"Which of these is NOT a map included in the game Counter-Strike: Global Offensive?","Oilrig","Assault","Mirage","Cache",258
"Who is Sonic&#039;s sidekick?","Tails","Shadow","Amy","Knuckles",259
"Which game did NOT get financed via Crowdfunding?","Enter the Gungeon","Town of Salem","Undertale","Tower Unite",260
"Who is the writer of the game &quot;Half-Life&quot;?","Marc Laidlaw","Gabe Newell","Robin Walker","Chet Faliszek",261
"Which of these video game engines was made by the company Epic Games?","Unreal","Unity","Game Maker: Studio","Cry Engine",262
"What is the main ship used by Commander Shepard in the Mass Effect Franchise called?","Normandy","Osiris","Infinity","Endeavour",263
"Which of these is NOT a main playable character in &quot;Grand Theft Auto V&quot;?","Lamar","Trevor","Michael","Franklin",264
"Who is the main character in &quot;The Stanley Parable&quot;?","Stanley","The Adventure Line","The Narrator","The Boss",265
"In the fighting game &quot;Skullgirls,&quot; which character utilizes a folding chair called the &quot;Hurting&quot; as a weapon?","Beowulf","Big Band","Squigly","Cerebella",266
"In Portal 2, how did CEO of Aperture Science, Cave Johnson, presumably die?","Moon Rock Poisoning","Accidentally sending a portal to the Moon","Slipped in the shower","Asbestos Poisoning",267
"What is Gabe Newell&#039;s favorite class in Team Fortress 2?","Spy","Heavy","Medic","Pyro",268
"What company created and developed the game &quot;Overwatch&quot;?","Blizzard Entertainment","Valve","Hi-Rez Studios","Gearbox Software",269
"Who is the creator of the Super Smash Bros. Series?","Masahiro Sakurai","Reggie Fils-Aim&eacute;","Bill Trinen","Hideo Kojima",270
"In what city in the dystopia alternate future of Half-Life 2 do you first start in?","City 17","City 18","City 6","City 45",271
"What was the original name of Crash Bandicoot?","Willie Wombat","Coco Bandicoot","Marvelous Mole","Wally Wombat",272
"TF2: What code does Soldier put into the door keypad in &quot;Meet the Spy&quot;?","1111","1432","1337","No code",273
"In Dota 2, Wraith King was previously known as...","Skeleton King","Reaper King","Skull King","Hell King",274
"Who is the leader of Team Mystic in Pok&eacute;mon Go?","Blanche","Candela","Spark","Willow",275
"Who is the leader of Team Instinct in Pok&eacute;mon Go?","Spark","Candela","Blanche","Willow",276
"Which of the following is NOT a summon in the game &quot;South Park: The Stick of Truth&quot;?","Towelie","Jesus","Mr. Hankey","Mr. Slave",277
"Which Sonic the Hedgehog game was originally supposed to be packaged with Sonic 3, but was cut in half due to time constraints?","Sonic &amp; Knuckles","Sonic 2","Sonic CD","Sonic 3D Blast",278
"Which Pokemon generation did the fan-named &quot;Masuda Method&quot; first appear in? ","Diamond/Pearl","Ruby/Sapphire","Black/White","X/Y",279
"In Super Mario Bros., who informs Mario that the princess is in another castle?","Toad","Luigi","Yoshi","Bowser",280
"In Pokemon Red &amp; Blue, what is the name of HM05?","Flash","Strength","Cut","Fly",281
"Which of the following was NOT a playable character in the game Kingdom Hearts: Birth by Sleep?","Ignis","Ventus","Terra","Aqua",282
"Which Elite Four member from the first generation of Pok&eacute;mon became the champion in the next generation?","Lance","Agatha","Bruno","Lorelei",283
"In what year was the game &quot;FTL: Faster Than Light&quot; released?","2012","2014","2013","2011",284
"Which Animal Crossing game was for the Nintendo Wii?","Animal Crossing: City Folk","Animal Crossing: New Leaf","Animal Crossing: Wild World","Animal Crossing: Population Growing!",285
"In Rust, how many Timed Explosive Charges does it take to destroy a Ladder Hatch?","1","3","2","5",286
"In Minecraft, which two items must be combined to craft a torch?","Stick and Coal","Stick and Fire","Wood and Coal","Wood and Fire",287
"When was Left 4 Dead 2 released?","40134","39571","40147","40359",288
"Which &quot;Fallout: New Vegas&quot; quest is NOT named after a real-life song?","They Went That-a-Way","Come Fly With Me","Ain&#039;t That a Kick in the Head","Ring-a-Ding Ding",289
"Aperture Science CEO Cave Johnson is voiced by which American actor?","J.K. Simmons","Nolan North","John Patrick Lowrie","Christopher Lloyd",290
"Who created the indie adventure game &quot;Night in the Woods&quot;?","Alec Holowka","Ron Gilbert","Tim Schafer"," Tommy Refenes",291
"What was the release date of &quot;Grand Theft Auto IV&quot;?","39567","39954","40351","39657",292
"What is the name of the main protagonist in &quot;Xenoblade Chronicles&quot;?","Shulk","Reyn","Fiora","Dunban",293
"What is the hardest possible difficulty in &quot;Deus Ex: Mankind Divided&quot;?","I Never Asked For This","Nightmare","Extreme","Guru",294
"Which Pok&eacute;mon can learn the move &quot;Secret Power&quot; by leveling up?","Audino","Type:Null","Arceus","Silvally",295
"In Night In The Woods, where does Gregg work?","Snack Falcon","Ol&#039; Pickaxe","Video Outpost &quot;Too&quot;","Food Donkey",296
"In the game Sonic Forces, which of the following was not from a previous game?","Infinite","Metal Sonic","Zavoc","Chaos",297
"Which of 2 Valve Games are set in the same universe?","Half-life and Portal","Portal and Left 4 Dead","Half-life and Left 4 Dead","Half-life and Counter Strike",298
"Who is the leader of the Brotherhood of Nod in the Command and Conquer series?","Kane","Joseph Stalin","CABAL","Yuri",299
"In Final Fantasy XIV, what is the name of the Deep Dungeon that was introduced in the expansion pack, Heavensward?","Palace of the Dead","Heaven on High","Aetherochemical Research Facility","Sunken Temple of Qarn",300
"In the Assassin&#039;s Creed series,what was the name of Desmond Miles given by Abstergo?","Subject 17","Subject 16","Subject 18","Alta&iuml;r Ibn-La&#039;Ahad",301
"In the PAYDAY series, who betrayed the PAYDAY gang that got Hoxton arrested?","Hector","Vlad","The Dentist","The Elephant",302